2025-12-15 22:33:57.882 | INFO     | _base.py:223 (_proxy_to_logger) | {"event": "Created DB manager for process 44733", "timestamp": "2025-12-15T14:33:57.882472Z", "level": "info", "request_id": "", "user_id": "", "trace_idd": "", "endpoint": "", "correlation_id": "", "session_id": "", "client_ip": ""}
2025-12-15 22:33:57.887 | INFO     | _base.py:223 (_proxy_to_logger) | {"event": "Created DB manager for process 44734", "timestamp": "2025-12-15T14:33:57.887122Z", "level": "info", "request_id": "", "user_id": "", "trace_idd": "", "endpoint": "", "correlation_id": "", "session_id": "", "client_ip": ""}
2025-12-15 22:33:57.890 | INFO     | _base.py:223 (_proxy_to_logger) | {"event": "Created DB manager for process 44731", "timestamp": "2025-12-15T14:33:57.890517Z", "level": "info", "request_id": "", "user_id": "", "trace_idd": "", "endpoint": "", "correlation_id": "", "session_id": "", "client_ip": ""}
2025-12-15 22:33:57.912 | INFO     | _base.py:223 (_proxy_to_logger) | {"event": "Created DB manager for process 44732", "timestamp": "2025-12-15T14:33:57.912907Z", "level": "info", "request_id": "", "user_id": "", "trace_idd": "", "endpoint": "", "correlation_id": "", "session_id": "", "client_ip": ""}
2025-12-15 22:33:58.464 | INFO     | _base.py:223 (_proxy_to_logger) | {"env": "dev", "log_level": "INFO", "log_format": "json", "async_log": true, "event": "Application start...", "timestamp": "2025-12-15T14:33:58.464040Z", "session_id": "", "trace_idd": "", "correlation_id": "", "user_id": "", "endpoint": "", "request_id": "", "client_ip": "", "level": "info"}
2025-12-15 22:33:58.464 | INFO     | _base.py:223 (_proxy_to_logger) | {"env": "dev", "log_level": "INFO", "log_format": "json", "async_log": true, "event": "Application start...", "timestamp": "2025-12-15T14:33:58.464036Z", "correlation_id": "", "session_id": "", "endpoint": "", "trace_idd": "", "request_id": "", "user_id": "", "client_ip": "", "level": "info"}
2025-12-15 22:33:58.465 | INFO     | _base.py:223 (_proxy_to_logger) | {"env": "dev", "log_level": "INFO", "log_format": "json", "async_log": true, "event": "Application start...", "timestamp": "2025-12-15T14:33:58.465092Z", "trace_idd": "", "correlation_id": "", "user_id": "", "request_id": "", "session_id": "", "client_ip": "", "endpoint": "", "level": "info"}
2025-12-15 22:33:58.485 | INFO     | _base.py:223 (_proxy_to_logger) | {"env": "dev", "log_level": "INFO", "log_format": "json", "async_log": true, "event": "Application start...", "timestamp": "2025-12-15T14:33:58.485312Z", "user_id": "", "request_id": "", "client_ip": "", "session_id": "", "trace_idd": "", "endpoint": "", "correlation_id": "", "level": "info"}
2025-12-15 22:39:43.505 | WARNING  | _base.py:223 (_proxy_to_logger) | {"event": "\u6ce8\u518c\u7684\u8def\u7531:", "timestamp": "2025-12-15T14:39:43.505642Z", "session_id": "", "trace_idd": "", "correlation_id": "", "user_id": "", "endpoint": "", "request_id": "", "client_ip": "", "level": "warning"}
2025-12-15 22:39:43.506 | INFO     | _base.py:223 (_proxy_to_logger) | {"event": "Starting security-enhanced application", "timestamp": "2025-12-15T14:39:43.506035Z", "session_id": "", "trace_idd": "", "correlation_id": "", "user_id": "", "endpoint": "", "request_id": "", "client_ip": "", "level": "info"}
2025-12-15 22:39:43.506 | INFO     | _base.py:223 (_proxy_to_logger) | {"event": "settings.DB_WRITE_DSN: ['postgresql+asyncpg://postgres123:pgsAdmin%40123@localhost:5432/fastxai']", "timestamp": "2025-12-15T14:39:43.506146Z", "session_id": "", "trace_idd": "", "correlation_id": "", "user_id": "", "endpoint": "", "request_id": "", "client_ip": "", "level": "info"}
2025-12-15 22:39:43.506 | WARNING  | _base.py:223 (_proxy_to_logger) | {"event": "\u6ce8\u518c\u7684\u8def\u7531:", "timestamp": "2025-12-15T14:39:43.506768Z", "trace_idd": "", "correlation_id": "", "user_id": "", "request_id": "", "session_id": "", "client_ip": "", "endpoint": "", "level": "warning"}
2025-12-15 22:39:43.506 | INFO     | _base.py:223 (_proxy_to_logger) | {"event": "idx(0) -> dsn(postgresql+asyncpg://postgres123:pgsAdmin%40123@localhost:5432/fastxai)", "timestamp": "2025-12-15T14:39:43.506227Z", "session_id": "", "trace_idd": "", "correlation_id": "", "user_id": "", "endpoint": "", "request_id": "", "client_ip": "", "level": "info"}
2025-12-15 22:39:43.507 | INFO     | _base.py:223 (_proxy_to_logger) | {"event": "Starting security-enhanced application", "timestamp": "2025-12-15T14:39:43.507185Z", "trace_idd": "", "correlation_id": "", "user_id": "", "request_id": "", "session_id": "", "client_ip": "", "endpoint": "", "level": "info"}
2025-12-15 22:39:43.507 | INFO     | _base.py:223 (_proxy_to_logger) | {"event": "settings.DB_WRITE_DSN: ['postgresql+asyncpg://postgres123:pgsAdmin%40123@localhost:5432/fastxai']", "timestamp": "2025-12-15T14:39:43.507387Z", "trace_idd": "", "correlation_id": "", "user_id": "", "request_id": "", "session_id": "", "client_ip": "", "endpoint": "", "level": "info"}
2025-12-15 22:39:43.507 | INFO     | _base.py:223 (_proxy_to_logger) | {"event": "idx(0) -> dsn(postgresql+asyncpg://postgres123:pgsAdmin%40123@localhost:5432/fastxai)", "timestamp": "2025-12-15T14:39:43.507480Z", "trace_idd": "", "correlation_id": "", "user_id": "", "request_id": "", "session_id": "", "client_ip": "", "endpoint": "", "level": "info"}
2025-12-15 22:39:43.513 | INFO     | _base.py:223 (_proxy_to_logger) | {"host": "postgresql+asyncpg://postgres123:pgsAdmin%40123@localhost:5432/fastxai", "event": "Process 44734: Write engine 0 initialized (DSN: postgresql+asyncpg:/...)", "timestamp": "2025-12-15T14:39:43.513956Z", "session_id": "", "trace_idd": "", "correlation_id": "", "user_id": "", "endpoint": "", "request_id": "", "client_ip": "", "level": "info"}
2025-12-15 22:39:43.514 | INFO     | _base.py:223 (_proxy_to_logger) | {"host": "postgresql+asyncpg://postgres123:pgsAdmin%40123@localhost:5432/fastxai", "event": "Process 44734: Read engine 0 initialized (DSN: postgresql+asyncpg:/...)", "timestamp": "2025-12-15T14:39:43.514240Z", "session_id": "", "trace_idd": "", "correlation_id": "", "user_id": "", "endpoint": "", "request_id": "", "client_ip": "", "level": "info"}
